step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v6,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238352
0,B0100,defensive,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238352
1,A0100,adaptive_eagle_v6,HABFM,3313.135949,95.508165,84.491832,179.200243,-95.508300,15000.271004,387.161443,21636.116378,66.243076,-0.002895,-91.078739,0.214497,False,False,False,False,False,True,False,2-circle,-1.000000,0.000001,100.000000,100.000000,0.000000,0.000000,84.676959,-5.323041,0.884041,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.191869
1,B0100,defensive,HABFM,3313.135949,95.508165,84.491832,179.200243,-95.508300,15000.271004,387.161443,21636.116378,66.243076,-0.002895,-91.078739,0.214497,False,False,False,False,False,True,False,2-circle,-1.000000,0.000001,100.000000,100.000000,0.000000,0.000000,84.676959,-5.323041,0.884041,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.191868
2,A0100,adaptive_eagle_v6,HABFM,3357.903973,100.417304,79.582647,175.622633,-100.424994,15003.619675,386.218175,21607.169702,-144.733378,-0.005699,-171.179528,0.896164,False,False,False,False,False,True,False,2-circle,-1.000000,0.000012,100.000000,100.000000,0.000000,0.000000,68.774359,-21.225642,6.541938,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.136122
2,B0100,defensive,HABFM,3357.903973,100.417304,79.582647,175.622633,-100.424994,15003.619675,386.218175,21607.169702,-144.733378,-0.005699,-171.179528,0.896164,False,False,False,False,False,True,False,2-circle,-1.000000,0.000012,100.000000,100.000000,0.000000,0.000000,68.774359,-21.225642,6.541938,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.136118
3,A0100,adaptive_eagle_v6,HABFM,3426.414481,104.194566,75.805256,171.429517,-104.235197,15012.705996,384.826105,21568.738646,-192.155282,-0.007179,-231.379942,2.091030,False,False,False,False,False,True,False,2-circle,-1.000000,0.000106,100.000000,100.000000,0.000000,0.000000,47.910491,-42.089511,11.036261,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.092518
3,B0100,defensive,HABFM,3426.414481,104.194566,75.805256,171.429517,-104.235197,15012.705996,384.826105,21568.738646,-192.155282,-0.007179,-231.379942,2.091030,False,False,False,False,False,True,False,2-circle,-1.000000,0.000106,100.000000,100.000000,0.000000,0.000000,47.910491,-42.089511,11.036261,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.092511
4,A0100,adaptive_eagle_v6,HABFM,3512.035537,106.916782,73.082826,168.400265,-107.006464,15026.854298,382.939999,21518.779707,-249.794696,-0.007902,-273.338078,4.863555,False,False,False,False,False,True,False,2-circle,-1.000000,0.000423,100.000000,100.000000,0.000000,0.000000,25.554159,-64.445849,13.130524,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.067064
4,B0100,defensive,HABFM,3512.035537,106.916782,73.082826,168.400265,-107.006464,15026.854298,382.939999,21518.779707,-249.794696,-0.007902,-273.338078,4.863555,False,False,False,False,False,True,False,2-circle,-1.000000,0.000423,100.000000,100.000000,0.000000,0.000000,25.554159,-64.445849,13.130524,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.067056
5,A0100,adaptive_eagle_v6,HABFM,3609.694135,108.974634,71.024698,167.233036,-109.097573,15043.878105,381.121814,21474.303041,-222.383329,-0.006245,-304.125467,51.182937,False,False,False,False,False,True,False,2-circle,-1.000000,0.001143,100.000000,100.000000,0.000000,0.000000,2.612590,-87.387430,13.301779,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.067112
