step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v51,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,-90.000000,-0.000000,-0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.237996
0,B0100,aggressive,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,-90.000000,-0.000000,-0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.238041
1,A0100,adaptive_eagle_v51,HABFM,3313.088015,95.500572,84.500525,179.194280,-95.500711,15000.273892,384.472100,21544.250180,-393.087912,-131.377543,-90.643712,0.215014,False,False,False,False,False,False,False,2-circle,-1.000000,-0.002890,100.000000,100.000000,0.000000,0.000000,-95.300656,-5.300707,0.954923,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.190902
1,B0100,aggressive,HABFM,3313.088015,95.500572,84.500525,179.194280,-95.500711,15000.273892,384.472100,21544.250180,-393.087912,-131.377543,-90.643712,0.215014,False,False,False,False,False,False,False,2-circle,-1.000000,-0.002890,100.000000,100.000000,0.000000,0.000000,-95.300656,-5.300707,0.954923,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.190984
2,A0100,adaptive_eagle_v51,HABFM,3357.515917,100.385281,79.618113,175.599179,-100.393117,15003.626092,380.750307,21421.520734,-613.647232,-265.787965,-169.480168,0.900686,False,False,False,False,False,False,False,2-circle,-1.000000,-0.006445,100.000000,100.000000,0.000000,0.000000,-111.060788,-21.060901,6.793628,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.134736
2,B0100,aggressive,HABFM,3357.515917,100.385281,79.618113,175.599179,-100.393117,15003.626092,380.750307,21421.520734,-613.647232,-265.787965,-169.480168,0.900686,False,False,False,False,False,False,False,2-circle,-1.000000,-0.006445,100.000000,100.000000,0.000000,0.000000,-111.060788,-21.060901,6.793628,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.134665
3,A0100,adaptive_eagle_v51,HABFM,3425.146223,104.118717,75.883184,171.381366,-104.159970,15012.653871,376.540117,21289.400034,-660.603498,-400.359762,-227.789646,2.099692,False,False,False,False,False,True,False,2-circle,-1.000000,0.052026,100.000000,100.000000,0.000000,0.000000,-131.617500,-41.616594,11.429435,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.090854
3,B0100,aggressive,HABFM,3425.146223,104.118717,75.883184,171.381366,-104.159970,15012.653871,376.540117,21289.400034,-660.603498,-400.359762,-227.789646,2.099692,False,False,False,False,False,True,False,2-circle,-1.000000,0.052026,100.000000,100.000000,0.000000,0.000000,-131.617500,-41.616594,11.429435,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.090636
4,A0100,adaptive_eagle_v51,HABFM,3509.197380,106.781438,73.215320,168.325999,-106.872268,15026.626278,372.137060,21157.436932,-659.815514,-518.423487,-267.586676,4.770753,False,False,False,False,False,True,False,2-circle,-1.000000,0.227790,100.000000,100.000000,0.000000,0.000000,-153.396781,-63.392793,13.546768,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.065223
4,B0100,aggressive,HABFM,3509.197380,106.781438,73.215320,168.325999,-106.872268,15026.626278,372.137060,21157.436932,-659.815514,-518.423487,-267.586676,4.770753,False,False,False,False,False,True,False,2-circle,-1.000000,0.227790,100.000000,100.000000,0.000000,0.000000,-153.396781,-63.392793,13.546768,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.064063
