step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v8,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.237997
0,B0100,aggressive,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.238041
1,A0100,adaptive_eagle_v8,HABFM,3313.088151,95.500569,84.500522,179.194280,-95.500707,15000.273890,384.472041,21544.248171,-393.097959,-131.383310,-90.643707,0.215014,False,False,False,False,False,False,False,2-circle,-1.000000,-0.002889,100.000000,100.000000,0.000000,0.000000,84.699242,-5.300707,0.954920,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.190904
1,B0100,aggressive,HABFM,3313.088151,95.500569,84.500522,179.194280,-95.500707,15000.273890,384.472041,21544.248171,-393.097959,-131.383310,-90.643707,0.215014,False,False,False,False,False,False,False,2-circle,-1.000000,-0.002889,100.000000,100.000000,0.000000,0.000000,84.699242,-5.300707,0.954920,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.190982
2,A0100,adaptive_eagle_v8,HABFM,3357.516482,100.385229,79.618065,175.599179,-100.393065,15003.626077,380.750191,21421.516800,-613.656855,-265.799273,-169.480139,0.900690,False,False,False,False,False,False,False,2-circle,-1.000000,-0.006421,100.000000,100.000000,0.000000,0.000000,68.938916,-21.060972,6.793612,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.134740
2,B0100,aggressive,HABFM,3357.516482,100.385229,79.618065,175.599179,-100.393065,15003.626077,380.750191,21421.516800,-613.656855,-265.799273,-169.480139,0.900690,False,False,False,False,False,False,False,2-circle,-1.000000,-0.006421,100.000000,100.000000,0.000000,0.000000,68.938916,-21.060972,6.793612,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.134661
3,A0100,adaptive_eagle_v8,HABFM,3425.147490,104.118532,75.883012,171.381367,-104.159784,15012.653764,376.539969,21289.394985,-660.609076,-400.373964,-227.789569,2.099711,False,False,False,False,False,True,False,2-circle,-1.000000,0.052235,100.000000,100.000000,0.000000,0.000000,48.384066,-41.616844,11.429399,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.090860
3,B0100,aggressive,HABFM,3425.147490,104.118532,75.883012,171.381367,-104.159784,15012.653764,376.539969,21289.394985,-660.609076,-400.373964,-227.789569,2.099711,False,False,False,False,False,True,False,2-circle,-1.000000,0.052235,100.000000,100.000000,0.000000,0.000000,48.384066,-41.616844,11.429399,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.090629
4,A0100,adaptive_eagle_v8,HABFM,3509.199589,106.781029,73.214940,168.326000,-106.871850,15026.625857,372.136891,21157.430928,-659.820284,-518.439119,-267.586536,4.770827,False,False,False,False,False,True,False,2-circle,-1.000000,0.228628,100.000000,100.000000,0.000000,0.000000,26.610863,-63.393139,13.546691,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.065232
4,B0100,aggressive,HABFM,3509.199589,106.781029,73.214940,168.326000,-106.871850,15026.625857,372.136891,21157.430928,-659.820284,-518.439119,-267.586536,4.770827,False,False,False,False,False,True,False,2-circle,-1.000000,0.228628,100.000000,100.000000,0.000000,0.000000,26.610863,-63.393139,13.546691,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.064054
